Regulon,RMST_Under_minus_Over,pvalue,RMST_Under,RMST_Over
609,188,0.0917,666.999374028049,479.331986944893
610,16.2,0.862,572.787637787478,556.57640837258
611,-239,0.0192,502.861521556529,742.082419726955
612,-31,0.783,608.279373947845,639.310201102707
613,-139,0.107,474.61224857406,613.832926829033
614,428,0.0887,993.075721153846,564.998881987578
615,98,0.483,593.724819125511,495.718109314245
616,-37,0.746,532.319877672237,569.279050104207
617,75.9,0.444,632.646289901374,556.727709051205
618,-166,0.125,446.99749927086,613.433935029306
619,-48.4,0.683,515.960600375235,564.365979758167
620,-125,0.249,592.747018788512,718.15827482985
621,-53.9,0.454,543.415596670861,597.2946807021
622,360,7.77e-05,826.826048279774,467.248173409552
623,6.73,0.93,589.39888751434,582.664058527179
624,37.3,0.696,656.196943417995,618.945000786796
625,338,0.000189,826.044576641885,487.603285045425
626,145,0.0981,685.755591321688,540.794520439158
627,-153,0.16,562.810318313563,715.83552256149
628,-246,0.0287,515.520276674743,761.782598699208
629,294,0.00352,818.152379005125,524.459452872592
630,43.8,0.628,636.21966621694,592.405176319716
631,45.2,0.612,630.274462852771,585.102522664006
632,222,0.0195,761.526918807711,539.850337698925
633,41.7,0.727,560.300815526303,518.592242840998
634,-182,0.122,561.520441049586,743.667552383848
635,312,0.00646,786.247690772464,474.217699528388
636,158,0.186,698.736408199643,541.051774134419
637,68.7,0.508,581.695194206715,513.034493820923
638,-106,0.274,525.38004163414,630.8945053837
639,-10.2,0.911,451.612903225806,461.802234161663
640,-30.4,0.772,590.196425631981,620.598261605585
641,-157,0.13,521.01253845735,678.231158363167
642,-4.45,0.967,588.21789787496,592.666112563986
643,174,0.126,577.066416213317,403.316194035808
644,-45.9,0.652,579.52564322964,625.468029517455
645,-55.9,0.436,545.257668213809,601.192897199225
646,250,0.00215,737.57416778124,487.475943613952
647,211,0.0295,768.913682182289,557.543566435602
648,248,0.0135,789.94119656359,541.451930627301
649,279,0.0197,809.688392031521,530.671713704022
650,352,6.34e-05,837.811403694448,485.712289798388
651,254,0.00392,711.952423202684,458.315047071838
652,-26.9,0.677,514.623697000975,541.52536181885
653,103,0.248,666.558345360449,563.738386462883
654,142,0.146,716.09030769166,574.129782134052
655,302,0.00151,768.612288068424,466.666695953447
656,-55.7,0.504,532.576711057539,588.289806645604
657,240,0.0518,769.910374914313,529.658333333333
658,147,0.255,635.44807152667,488.120875107518
659,313,0.113,792.988776655443,479.990717099549
660,-57.3,0.669,522.017777777778,579.354213595602
661,118,0.269,604.444376675401,486.565332114929
662,-68.6,0.567,557.645715771449,626.241358348973
663,425,0.0462,915.850845864662,490.486702971522
664,-311,0.131,411.854497354497,723.046153846154
665,-133,0.102,523.875919934018,656.815741374127
666,294,0.0246,831.910408940213,538.387776847337
667,167,0.0906,711.242093493822,544.690616794392
668,-9.12,0.935,588.53600368698,597.657204617871
669,-23.4,0.791,530.469022177419,553.84049671135
670,112,0.347,592.667354624542,480.430442113491
671,441,0.0028,875.99755641606,435.371034131835
672,-253,0.0263,496.056112187809,749.205235429881
673,-103,0.666,592.821428571429,695.653846153846
674,-116,0.193,481.970764776413,598.098353108879
675,48.7,0.535,489.560380903593,440.826008407052
676,27.8,0.785,518.151586368978,490.311109117491
677,-145,0.0716,499.780202335213,644.335284095847
678,208,0.0329,697.541052306519,489.373884495991
679,170,0.0631,708.819121924901,539.048663299828
680,209,0.02,753.115949443083,543.948576623085
681,-5.59,0.952,612.10794446422,617.702498689276
682,75.6,0.422,632.395657828857,556.755092332054
683,217,0.0243,738.391779884328,521.060818179233
684,-86.2,0.368,529.377170445216,615.573655272677
685,32.3,0.736,654.848296705495,622.571031626086
686,-153,0.0664,499.381530361525,651.913186819268
687,-6.59,0.952,651.412015753599,658.006586120057
688,-143,0.185,435.89402673199,578.901940035273
689,-410,0.0233,520.681818181818,930.18674688057
690,280,0.0598,815.376918412753,535.840788138467
691,145,0.165,716.154960611379,571.378455088591
692,97.3,0.473,627.096213407435,529.758661148477
